Wallet Address,Purchase Count
0x22708F6aa64E9505087806846A78c67aB350A4E0,1
0xB208420C52Fa932433956A5503A464DF49242C0d,1
0x4db2B35A3f65575a50F2AaAfDb2825EDFd5F85FE,5
0x26eD505fCe70D11cbC98C6AD4DB6946dC72FAe75,10
0x863b6244E6EbA740d61E85703ef66278BF0a6E39,3
0x41789b388D295Fb8B50006607306F138f5940D12,200
0xE7494C6520cA2baF64AC9b389F43dcEEdc7F148F,5
0xb2fE255C5D4D74453Dc4E0D5162B39AdfDD73f25,15
0x894D5E8f6cE008b71a0cBa883662fd721B9a195a,4
0x826F5a52ca81Fd9a65F5153b8999a8448606d1BF,2
0x0a0C94711e54988235792227d258C90BDFE5620A,102
0xA33Eb4BF91aBf05e034856E1B1B715066564b6c2,150
0xE45Cc9D0f03F127Ab0B23aA4Ba67F588a45cC501,4
0x038c5A04C37c239c05D34b162097e59674757ebE,1
0xf56723E0BFcFC8e54b75c0b53B3661674EAB3844,2
0x2E84f76299C29ec794b62e3CBCF8aDebDB9d9017,1
0x91CD59F24C484a6AA014c06FaD54Ca0bc1198885,1
0x6bc1a425C9A83573aAAB3a399fd7b60Ad52DCf09,10
0x6f20B99cc9CE2F8A5D560F31b78B33Fc791cd524,1
0x399716a4Df7045CF51403bE536894c087D7Bf3d5,25
0x8BFfF78EdbFa534FE52Dd87d945DAC9A671957Ae,2
0x5ADB19d74a772350a33D557e36548E629Ef7B078,1
0xa3078210f56F0dFFf868d5A38e14Be8c9c7974c9,3
0x08A450e1DB3a69993bC29c71945e103dCA8c875b,10
0xE8c91D1E8789c6bFBA43432F500b40f695d23869,1
0x59AF192a36648e95255b49d145F54d8a54D9cB55,1
0x5826d68503efd81aCf7F2Be8163795CDbb37F7E0,13
0xedDB52dBbab24DA818E8C89e3b684A34d80227e2,2
0x6102fB7B72936d10d1029573461cC2409979F49d,4
0xF365A0Bf6d9B729fE44EdD0497994Af57ac460EE,8
0xE171b6B8C86dEBAB3b3593f45b564db29D9aB6fA,1
0xaE992033697039eaB3466Dd965c7B50B86749f70,1
0x8c6EFEB923F57596DC6D7478045789C4919A8753,4
0xCe59532638C770Aa32D8af6C5744b41aAc34BE6b,8
0xb69aEa7DBFB17035601FF05c2FC4b1C6D964542E,3
0x477d5a2156c5190B41F833704F1a742a967f226d,2
0x1253Ba843A3c26af725dce967F1d6ADFFE301120,3
0x872aDf7C74EAd1E2792A8AFC3873a64FEdde33fe,7
0x934a78F17cAC35481a1574197C95703a1054195e,1
0xE00Fd0b35883918fCf180DDA7F714fa3711F7eB7,7
0x207b8118C2d38d665Fad87EeeCEEeAa175A10fbD,2
0xf531C0De952d6be3947115267e900054077c5197,5
0x5762D4802AfaE5bBb0aB0D30AAb2162863DBA767,3
0xEF4940d1D48Bd5292c18cB84502002Ff581e75A4,5
0x09EC0f2D4893092E61cbED103eB4C437E29E72c8,1
0xa2daC3ad94A5dD068B155eaBb822AC247091BFa7,1
0xDBD0C39D34Fa1b40419284fbc9a89d6D12536e2D,2
0xA24167618b9B26B6CdcFdb4EA451110670BDDa68,1
0xe77A3125007da3459E5e0ACf1b64c513D2567A3f,5
0x8D0df7856E207dB6721a3001cddDF0657F7a21Ac,2
0xd672255baFD121fcEc2929796Bc0be5A61eea2EA,3
0xb5627D16112D1e97C4DA6AA69916e03687043EcC,8
0xD51edc54a80fAC61A8Fbe8824c85C654c2e366aE,10
0x14c8c84f8628507280268f127E42953Ac34Ea222,5
0x9A9A25aFD29880BD3CB60736185863e76b081dF8,1
0x88AD1a02F29DcdA0F053E6d6B4B909F198F1650B,1
